Date,Open,High,Low,Close,Adj Close,Volume
1998-03-24,7.710000,7.800000,7.400000,7.445000,1.822231,2599000
1998-03-25,7.450000,7.650000,7.410000,7.565000,1.851602,953000
1998-03-26,7.600000,7.650000,7.300000,7.305000,1.787964,1060000
1998-03-27,7.215000,7.400000,7.200000,7.270000,1.779398,977000
1998-03-30,7.500000,7.690000,7.270000,7.295000,1.785517,670000
1998-03-31,7.250000,7.330000,7.100000,7.145000,1.748803,1305000
1998-04-01,7.150000,7.290000,7.150000,7.250000,1.774502,333000
1998-04-02,7.300000,7.550000,7.210000,7.340000,1.796531,1505000
1998-04-03,7.325000,7.500000,7.260000,7.500000,1.835693,1489000
1998-04-06,7.650000,8.200000,7.550000,7.995000,1.956848,6018000
1998-04-07,7.900000,8.150000,7.875000,8.005000,1.959296,3507000
1998-04-08,8.000000,8.090000,7.750000,7.810000,1.911568,1673000
1998-04-09,null,null,null,null,null,null
1998-04-10,7.830000,7.930000,7.660000,7.690000,1.882196,2301000
1998-04-13,7.760000,8.090000,7.600000,7.630000,1.867511,2218000
1998-04-14,null,null,null,null,null,null
1998-04-15,7.790000,8.070000,7.790000,7.980000,1.953177,2325000
1998-04-16,7.950000,8.200000,7.700000,7.725000,1.890763,1559000
1998-04-17,7.800000,7.850000,7.600000,7.705000,1.885868,2117000
1998-04-20,7.800000,7.925000,7.700000,7.705000,1.885868,1621000
1998-04-21,7.800000,8.100000,7.725000,8.010000,1.960520,3492000
1998-04-22,8.075000,8.750000,8.000000,8.015000,1.961743,11664000
1998-04-23,8.100000,8.325000,7.850000,7.855000,1.922582,4146000
1998-04-24,8.000000,8.000000,7.505000,7.775000,1.903001,3791000
1998-04-27,7.900000,8.100000,7.750000,7.850000,1.921358,3316000
1998-04-28,null,null,null,null,null,null
1998-04-29,7.990000,8.090000,7.500000,7.600000,1.860168,3754000
1998-04-30,7.530000,7.690000,7.430000,7.645000,1.871182,2356000
1998-05-01,null,null,null,null,null,null
1998-05-04,7.700000,7.950000,7.670000,7.760000,1.899330,1139000
1998-05-05,7.790000,7.790000,7.600000,7.775000,1.903001,772000
1998-05-06,7.700000,7.800000,7.550000,7.600000,1.860168,1428000
1998-05-07,null,null,null,null,null,null
1998-05-08,7.550000,7.600000,7.325000,7.400000,1.811217,1628000
1998-05-11,null,null,null,null,null,null
1998-05-12,7.260000,7.490000,7.200000,7.415000,1.814888,1357000
1998-05-13,7.250000,7.410000,6.905000,6.920000,1.693732,1739000
1998-05-14,7.000000,7.500000,6.750000,7.450000,1.823454,3159000
1998-05-15,7.450000,7.490000,7.070000,7.300000,1.786741,2784000
1998-05-18,7.400000,7.400000,7.250000,7.280000,1.781846,678000
1998-05-19,7.300000,7.325000,7.205000,7.315000,1.790412,597000
1998-05-20,7.360000,7.490000,7.250000,7.405000,1.812441,860000
1998-05-21,7.490000,7.490000,7.210000,7.230000,1.769608,871000
1998-05-22,7.200000,7.275000,7.110000,7.165000,1.753698,1062000
1998-05-25,7.200000,7.300000,7.150000,7.170000,1.754922,345000
1998-05-26,7.100000,7.350000,7.010000,7.315000,1.790412,946000
1998-05-27,7.220000,7.275000,7.000000,7.100000,1.737789,977000
1998-05-28,7.050000,7.150000,6.960000,6.980000,1.708418,478000
1998-05-29,6.950000,7.040000,6.555000,6.915000,1.692509,2147000
1998-06-01,7.050000,7.400000,6.800000,6.950000,1.701075,1371000
1998-06-02,6.900000,7.000000,6.715000,6.835000,1.672928,1249000
1998-06-03,6.900000,6.950000,6.500000,6.685000,1.636214,913000
1998-06-04,6.790000,6.790000,6.690000,6.695000,1.638662,291000
1998-06-05,6.600000,6.765000,6.400000,6.510000,1.593381,2100000
1998-06-08,6.650000,6.700000,6.100000,6.310000,1.544430,953000
1998-06-09,6.200000,6.650000,6.200000,6.610000,1.617857,531000
1998-06-10,6.500000,6.500000,6.290000,6.385000,1.562786,756000
1998-06-11,6.305000,6.305000,6.030000,6.240000,1.810917,749000
1998-06-12,6.400000,6.450000,6.100000,6.300000,1.828329,1176000
1998-06-15,6.260000,6.275000,5.870000,5.870000,1.703539,494000
1998-06-16,5.800000,5.900000,5.510000,5.870000,1.703539,564000
1998-06-17,6.000000,6.450000,6.000000,6.440000,1.868959,2313000
1998-06-18,6.450000,6.540000,6.180000,6.200000,1.799308,661000
1998-06-19,6.180000,6.245000,5.900000,6.210000,1.802210,805000
1998-06-22,5.990000,5.995000,5.590000,5.825000,1.690479,411000
1998-06-23,5.700000,6.000000,5.625000,5.880000,1.706440,397000
1998-06-24,5.990000,6.050000,5.880000,6.035000,1.751424,245000
1998-06-25,6.075000,6.390000,6.050000,6.170000,1.790602,342000
1998-06-26,6.100000,6.130000,5.925000,6.075000,1.763032,445000
1998-06-29,6.085000,6.150000,6.005000,6.135000,1.780444,365000
1998-06-30,6.160000,6.450000,6.000000,6.425000,1.864606,844000
1998-07-01,6.225000,6.280000,6.065000,6.115000,1.774640,210000
1998-07-02,6.100000,6.160000,5.875000,5.900000,1.712245,352000
1998-07-03,5.890000,5.900000,5.625000,5.670000,1.645496,1784000
1998-07-06,5.950000,5.950000,5.680000,5.745000,1.667262,626000
1998-07-07,5.755000,5.850000,5.715000,5.735000,1.664360,547000
1998-07-08,5.800000,6.055000,5.800000,5.905000,1.713696,689000
1998-07-09,5.995000,6.100000,5.950000,6.040000,1.752874,480000
1998-07-10,6.100000,6.380000,6.050000,6.340000,1.839938,1255000
1998-07-13,6.500000,6.845000,6.500000,6.715000,1.948767,3175000
1998-07-14,6.700000,7.050000,6.470000,6.990000,2.028574,4729000
1998-07-15,7.030000,7.100000,6.625000,6.715000,1.948767,1527000
1998-07-16,6.750000,6.850000,6.620000,6.845000,1.986494,2306000
1998-07-17,6.850000,6.890000,6.650000,6.700000,1.944414,3818000
1998-07-20,6.750000,6.750000,6.650000,6.710000,1.947316,596000
1998-07-21,6.660000,6.715000,6.500000,6.505000,1.887822,803000
1998-07-22,6.605000,6.630000,6.480000,6.490000,1.883469,594000
1998-07-23,6.470000,6.500000,6.270000,6.335000,1.838486,457000
1998-07-24,6.280000,6.310000,6.090000,6.200000,1.799308,1045000
1998-07-27,6.200000,6.500000,6.000000,6.025000,1.748521,377000
1998-07-28,6.100000,6.460000,5.995000,6.280000,1.822525,3046000
1998-07-29,6.305000,6.330000,6.200000,6.290000,1.825427,494000
1998-07-30,6.300000,6.700000,6.200000,6.315000,1.832682,3203000
1998-07-31,6.500000,6.550000,6.355000,6.445000,1.870410,676000
1998-08-03,6.210000,6.280000,6.125000,6.170000,1.790602,490000
1998-08-04,6.150000,6.160000,5.975000,6.000000,1.741266,666000
1998-08-05,5.980000,6.425000,5.815000,6.310000,1.831231,2855000
1998-08-06,6.310000,6.310000,6.050000,6.100000,1.770287,402000
1998-08-07,6.125000,6.150000,6.020000,6.095000,1.768836,694000
1998-08-10,6.030000,6.150000,6.000000,6.020000,1.747070,1066000
1998-08-11,5.980000,6.390000,5.930000,6.345000,1.841389,4746000
